delay_count,max_delay,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,LIMIT_BAL,avg_pay_amt,avg_payment_ratio,credit_utilization,PAY_AMT1,PAY_AMT2,PAY_AMT3,default payment next month
0,-2,-2,-2,-2,-2,-2,-2,2.6115352141037915,3.453008599776438,2.9204116710664385,-0.9443161963173493,-0.09305202934703563,1.7152319196030872,0.3101955697797844,0
0,-2,-2,-2,-2,-2,-2,-2,2.6115352141037915,0.4847528038469511,1.7154800466226314,-1.0086507290187157,-0.0024983519255145875,2.5227454671783223,-0.1438712265448008,0
0,-1,-1,-1,-2,-2,-2,-1,-0.053365866865734156,-0.693483661498552,3.9291171246325427,-0.9773510833932151,-0.5194177634359538,-0.4537701622625699,-0.43507646979926873,0
0,0,0,0,0,0,0,0,0.8871874558293925,0.38911752509761866,-0.7304964887883745,0.7587744052926622,0.31772659633326006,0.28731280128869374,0.18247947710244772,0
0,0,0,0,0,0,0,-1,-0.8371603024450064,0.7011474208685705,0.5039284846157435,-0.5841824531447416,-0.37425618920871456,-0.3452765446863019,-0.26280095412394233,0
1,1,1,-1,-1,-2,-2,-2,-0.9155397460029336,-0.7344468020251079,0.3926573476099254,-1.0568524898097746,-0.450601209985641,-0.492062027289488,-0.4764979052621887,1
1,2,-1,-1,2,-1,0,-1,0.8871874558293925,0.2644257253347825,1.2326175878697103,-0.9763034690458614,0.4289570502151987,-0.492062027289488,0.5669875497329879,0
0,0,0,0,0,0,0,0,1.5142230042928102,2.57740781664113,-0.66999815186565,0.6943222944164175,0.5270391949633333,0.1848143747014887,0.15109960175175075,0
0,0,0,0,0,0,0,0,-0.7587808588870791,-0.2275415923891541,-0.7162426716831587,1.6131596998633042,-0.2152040625901179,-0.056927197438145845,-0.05370638470379817,0
0,0,0,0,0,0,0,0,-1.2290575202346425,-0.5583872240419706,-0.23105986942038362,0.021575794740072,-0.37425618920871456,-0.2090309946284039,-0.3718983207598655,0
0,0,0,0,0,0,0,0,-0.2101247539815886,-0.20957242807817153,-0.7123617727811958,0.248118319285659,-0.2152040625901179,-0.20197214072192657,-0.16269915175521898,0
1,2,0,0,0,2,0,0,-0.9939191895608608,-0.4007337505354325,-0.6478774637426866,0.6911626388264855,-0.2152040625901179,-0.008578883010218932,-0.4764979052621887,0
0,-2,-2,-2,-2,-2,-2,-2,0.33853135092390196,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,1
1,2,0,0,2,-1,0,0,-1.1506780766767153,-0.20752427105184373,-0.4808662554437131,0.8279758529233983,-0.2152040625901179,-0.492062027289488,1.2746037388912046,1
0,0,0,0,-1,0,0,-2,-0.1317453104236614,-0.6961326112526027,-0.6414335341730368,-1.0330082758240862,-0.425895112984219,-0.37892697152813903,-0.4764979052621887,1
0,-1,-1,-1,-1,-1,-1,-1,1.6709818914086647,1.793033585984094,0.4780227962342629,-0.9201491280292249,1.7506802224157374,0.9717315403304272,2.104706041501642,0
0,0,0,0,0,0,0,0,-1.1506780766767153,-0.5851771179463382,-0.7086601950917012,1.6982085602190478,-0.3935545139051043,-0.36490596034404027,-0.40285979777255315,0
5,2,1,2,2,2,2,0,-0.7587808588870791,-0.5345466762555151,-0.7352051361468982,0.4965040673786289,-0.5333083158273113,-0.1923024778363412,-0.26729873625754225,1
0,0,0,0,0,0,0,0,-0.5236425282132975,-0.493419683166853,-0.7338280773653558,0.20083676819536453,-0.32123881366918233,-0.33676724134698677,-0.31959852850870385,0
0,-2,-2,-2,-2,-2,-2,-2,1.1223257865031742,0.08175742734669404,0.032136631202535404,-0.9963886059790616,0.30171534892032137,0.242832352015001,0.6934484473962967,0
2,2,1,2,0,0,0,0,0.10339302025012029,-0.47594207654218906,-0.7298811631867269,-0.3774365739371448,-0.3954631394245275,-0.29770180328922186,-0.29219343736909514,0
1,2,2,0,0,0,0,0,-0.1317453104236614,-0.40436581566212043,-0.6512420207410086,-0.5021381767122339,-0.3636527141008081,-0.32593721891513117,-0.3667729411192516,0
0,-2,-2,-2,-2,-2,-2,-2,2.6115352141037915,-0.5787049417431424,2.0319856824372966,-1.0562914494793572,-0.14734182189951664,-0.4763971734148397,-0.4764979052621887,0
0,0,0,0,0,-1,-1,-1,0.10339302025012029,0.04109468318399964,0.8257868195325834,-0.9162664327234049,0.36798706834473666,-0.3470170840057073,0.3079989785052356,0
0,0,0,0,0,0,0,0,0.10339302025012029,0.1744433599781146,-0.7356809805768386,1.459861836619166,0.32377057714476676,0.21343657684282144,0.07296371212851528,0
5,3,-1,3,2,2,2,2,0.2601519073659747,-0.7038609904319462,-0.17079122604765626,-1.0482007326934188,-0.5333083158273113,-0.492062027289488,-0.4032781961105625,0
0,0,0,0,0,0,0,0,1.8277407785245192,2.221699197214326,-0.7035654618959534,1.1815445784049503,1.2692824525167845,0.9611916077851391,2.6614896298075084,0
0,0,0,0,0,0,0,0,2.6115352141037915,-0.5149936038441725,-0.6645909390540298,-0.9596255365895503,-0.3725596331914496,-0.36635640977687806,-0.3718983207598655,1
0,0,0,0,0,0,0,-1,-0.7587808588870791,-0.42476545964434526,-0.6835002868551436,0.6003019805322484,-0.10651844273407682,-0.2894825898364743,-0.3718983207598655,0
6,2,2,2,2,2,2,2,-0.9155397460029336,-0.5884814779488137,-0.7291358251065263,0.44015195533472323,-0.5333083158273113,-0.2309811293786827,-0.4764979052621887,1
0,0,0,0,0,-2,-2,-2,-0.9155397460029336,-0.7284388747478797,-0.7776152575824697,-0.5119945485530573,-0.4272735647482468,-0.492062027289488,-0.4764979052621887,1
0,-1,-1,-1,-2,-2,-1,-1,-0.28850419753951584,-0.6914901219929263,0.3926573476099254,-1.055296490989422,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0
2,2,-2,-2,-2,-1,2,2,0.2601519073659747,-0.4957136190363401,-0.7339544659227901,0.05596336968212411,-0.5333083158273113,-0.492062027289488,0.383519878515913,1
3,2,2,2,2,0,0,0,-1.2290575202346425,-0.6735482664422948,-0.4868659096778701,0.02591717823463414,-0.28942838834546303,-0.492062027289488,-0.46080796758684023,1
1,2,2,-1,-1,-1,-1,-1,0.33853135092390196,-0.5045616573900762,2.0840134703789293,-1.044782489532044,-0.501497890503592,-0.3799906344455534,-0.23801085259689173,0
2,2,1,-2,-2,-1,2,-1,-0.28850419753951584,0.37426155946665435,1.010023595432766,-0.9640723903914143,-0.5333083158273113,-0.492062027289488,1.63233431788915,0
1,2,2,0,0,0,0,0,-1.1506780766767153,-0.6547052218000792,-0.7281953325881164,1.0426119447014326,-0.5333083158273113,-0.37602607266246346,-0.3718983207598655,0
0,-1,-1,-1,-1,-1,-1,-1,-0.6804014153291519,-0.7024955524143943,1.3354412364076027,-1.0503404145616753,-0.5333083158273113,-0.454350342035705,-0.43570406730628264,0
6,2,2,2,2,2,2,2,1.2007052300611014,-0.37888674225460267,-0.731450073169668,-0.5243770329335401,-0.2682214381296501,-0.25032045514985346,-0.4764979052621887,1
1,2,-1,-1,-1,-1,2,-1,0.2601519073659747,-0.22289910312947775,0.8433280923866825,-1.000106790879948,0.08360186595068575,-0.4906115778566502,0.47556751287795745,0
1,1,1,-2,-1,-1,-1,-1,0.9655668993873198,-0.6051671305232975,1.5711372086070223,-1.0552238540890406,-0.5333083158273113,-0.18698416324926923,-0.4764979052621887,0
0,-1,-1,-1,-1,-1,-1,-1,1.357464117176956,2.7534127771035655,1.9687064905366798,-0.864766615837942,0.07246821708738399,1.7757640092668516,-0.025255297719166243,0
1,2,0,0,2,0,0,0,-1.1506780766767153,-0.6030916647366187,-0.702088606517396,1.35275847340759,-0.23110927525197755,-0.492062027289488,-0.41269215871577153,0
0,0,-1,0,0,0,0,0,-0.9155397460029336,-0.582118536787022,-0.7024840635059233,0.32309680642506,-0.3467931886792369,-0.3200387245549241,-0.44302603822144526,0
0,-1,-1,-1,-1,-1,-1,-1,1.043946342945247,-0.708066539526006,0.6283533198093447,-1.0615182843819257,-0.5024522032633035,-0.46392330829243456,-0.44605942617201266,0
0,0,0,0,0,0,0,0,-1.072298633118788,-0.5260536517863426,-0.7153482763724573,1.3081360485581877,-0.3545337255080086,-0.35668674689129265,-0.41792213794088773,1
1,1,1,-2,-2,-2,-2,-2,0.5736696815976836,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,1
0,0,0,0,0,0,0,0,2.3763968834300098,-0.15697575564207372,-0.7261012133473587,-0.4402166695895284,0.14531409107870127,0.23954466663390198,-0.16269915175521898,0
0,0,0,0,0,0,0,-1,1.5142230042928102,1.4701741282083243,0.9715401351176784,-0.6734868584860186,-0.024765649652118124,-0.16329348917958506,-0.15223919330498667,0
0,0,0,0,0,0,0,0,-0.8371603024450064,-0.6097823110226228,-0.7341371152059485,0.07723455844214341,-0.3661975481267057,-0.37476901648733735,-0.40871737450468326,1
1,2,0,0,2,0,0,0,1.8277407785245192,-0.13439141083176595,-0.7400133479955514,-0.22827798068350388,0.6012635207186785,-0.49177193740292047,-0.1574691725301028,0
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.5904750174544395,-0.7352472009882492,0.6293122363205462,-0.35559407301879925,-0.36616301651916633,-0.4032781961105625,0
0,0,0,0,0,0,0,0,-0.053365866865734156,1.7497492008276998,-0.51341379544348,0.924550764559782,-0.06675541107942765,-0.14907908473777454,6.845473009900439,0
1,2,-1,-1,2,0,-1,-1,1.5142230042928102,-0.6918451358774899,0.6283533198093447,-1.0596433792005677,-0.40924765706480587,-0.492062027289488,-0.4764979052621887,1
0,0,0,0,0,0,0,-1,-0.053365866865734156,-0.5313788600547948,0.18959196634957814,-0.9700039478000559,-0.41168645633962436,-0.2986687695777804,-0.26729873625754225,0
0,0,0,0,0,-1,-1,-1,-0.28850419753951584,0.7927956206066517,0.9897566545576781,-0.2329584545342461,3.7080817273352675,-0.008578883010218932,-0.3373804578740988,0
3,2,2,2,0,0,0,2,-1.1506780766767153,-0.5877714501796867,-0.6400522366668085,0.39815503299136823,-0.5333083158273113,-0.33241589304847335,-0.3718983207598655,0
6,2,2,2,2,2,2,2,0.2601519073659747,0.1399797044151056,-0.7318808887445168,0.9922972192002032,0.1347106159707948,0.03976943141770797,0.09879980950058913,1
0,0,-1,-1,-1,0,0,-2,0.8871874558293925,-0.6473864740260011,0.3926573476099254,-1.0381238840714078,-0.5333083158273113,-0.10836980398946007,-0.4764979052621887,0
0,-2,-2,-2,-2,-2,-2,-2,-0.5236425282132975,-0.5494299506468304,0.3926573476099254,-1.0381797700145148,0.2677842285750207,-0.492062027289488,-0.4764979052621887,0
0,-1,-1,-1,-1,-1,-1,-2,-0.053365866865734156,-0.45485971355118837,1.1810130267710186,-1.0518849452285857,-0.36344064459865,-0.4108368590505708,-0.3886342542802372,0
0,0,0,0,0,0,0,0,-0.8371603024450064,-0.5847674865410727,-0.7373743454935923,0.5087728489123312,-0.3279190029871634,-0.3662597131480222,-0.40516098863160427,0
0,0,0,0,0,0,0,0,-0.6020219717712247,-0.4347058484121229,-0.7380842636946933,0.8159959675708417,-0.14935648217001887,-0.14424425329498183,-0.3531749951339496,0
0,0,-1,-1,-1,-1,-1,0,1.5142230042928102,2.538043877120742,2.8666964015288094,-0.9868231645308108,0.35091547342100726,-0.16387366895272015,0.8730459339867856,0
0,0,0,0,0,0,0,0,-0.1317453104236614,-0.10467947956983738,-0.7189472700888632,0.46047217470941587,-0.10588223422760244,0.4754844410421853,-0.134875662277601,0
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.652438594690943,-0.7278584516166463,-0.2647742267198836,-0.38369328205475134,-0.3766062524355986,-0.4368546627358082,0
0,0,0,0,0,0,0,-1,-1.1506780766767153,-0.6004973325032701,-0.7136448267195654,1.159280662737259,-0.35315527374398076,-0.35088494915994145,-0.4110185653637344,1
0,-2,-2,-2,-2,-2,-2,-2,-0.2101247539815886,-0.4005425892129752,1.7626247618063366,-1.0176812156201742,0.549518562192095,-0.4098698927620123,-0.43308907769372457,0
0,0,-2,-2,-1,0,0,0,1.6709818914086647,0.39173916609131826,1.6315957548385018,-0.8976889340461882,-0.50966256633668,2.71613872489003,-0.3540117918099682,0
2,2,0,0,0,2,2,0,2.454776326987937,2.8209080168367855,-0.6885291735509735,0.8072380050918081,1.1715184120218871,4.893263323579578,1.3016950312773063,0
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.568136451487291,-0.7378238830859474,0.895205277946368,-0.3459449106706044,-0.36036121878781513,-0.3716891215908608,1
5,2,2,2,2,2,2,0,-0.8371603024450064,-0.38661512143394616,-0.7289137094602582,1.6553354112823977,-0.5333083158273113,-0.008578883010218932,-0.21384834857685506,0
0,-1,-1,-1,-2,-2,-2,-1,-0.7587808588870791,0.023343988955825314,0.41042627762609024,-0.845460508700629,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0
0,-1,-1,-1,-1,-1,-1,-1,-0.6804014153291519,-0.40635935516774613,0.36291519437498776,-0.9577580260835808,-0.22994289299010787,-0.17499378127114334,-0.12933188429897788,0
0,-1,-1,-1,-1,-1,-1,-1,1.435843560734883,-0.3383332331333123,1.9388704651730377,-1.0493187922895806,-0.29239736137567685,-0.42224706125556155,-0.38581006549867447,0
0,0,0,0,0,-1,-1,-1,-0.28850419753951584,3.5010752950455144,0.01055530449864395,1.4346172236432864,0.6233187489431239,-0.492062027289488,6.845473009900439,0
1,1,1,-2,-2,-2,-2,-2,1.5142230042928102,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0
1,2,0,0,2,0,0,0,1.2790846736190287,0.13853234011650054,-0.7131067435165492,-0.1396654715291527,0.44857347916482565,-0.492062027289488,-0.10067159814534131,0
1,2,0,0,2,0,0,0,-0.9155397460029336,-0.564586312641656,-0.6762072778420594,-0.1756088887217745,-0.32123881366918233,-0.3953653984336342,-0.3718983207598655,0
6,3,2,2,2,2,2,3,0.8871874558293925,0.3530972701946004,-0.7174840171818148,0.39250169361979453,0.1559175661866077,-0.492062027289488,1.0144645722339267,0
0,0,0,0,0,0,0,0,-0.5236425282132975,-0.2678493226672851,-0.71035494892628,0.5347941157518012,-0.32123881366918233,-0.23320515184236734,-0.15474958333304242,0
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.6063414072183921,-0.7203002003306213,0.07219346474520168,-0.3912217493813649,-0.3658729266325988,-0.4032781961105625,0
3,3,-1,2,0,0,3,2,-1.072298633118788,-0.5833747397631698,-0.7078102841647045,0.806793718372066,-0.5333083158273113,-0.3651960502306078,-0.16269915175521898,1
0,-1,-1,-1,-1,-1,-1,-1,0.5736696815976836,-0.5466717658513757,1.425531957593801,-1.0494737281111335,-0.49874098697553626,-0.46053892628247967,0.11720933637299802,0
1,2,2,0,0,0,0,0,-0.6804014153291519,-0.5454701803959301,-0.6720362759064502,-0.4737832175994133,-0.32123881366918233,-0.32767775823453654,-0.3718983207598655,1
0,-1,-1,-1,-1,-1,-1,-1,1.8277407785245192,0.8251838103829818,0.5169439813761377,-0.9786264840615032,0.4927899703647955,0.6554368673429293,0.3434582376515232,0
0,0,0,0,0,0,-1,-1,0.5736696815976836,-0.4533577317318813,-0.41624401019382157,-0.6474445209379823,-0.32123881366918233,-0.20197214072192657,-0.16269915175521898,0
6,3,2,2,2,3,2,2,-0.9155397460029336,-0.4762424729060506,-0.7350627565494731,1.7050784426271073,-0.4272735647482468,-0.10189112985611787,-0.3718983207598655,1
1,1,1,-2,-2,-2,-2,-2,2.2196379963141553,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,1
1,1,1,-2,-2,-2,-2,-2,-0.4452630846553703,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0
1,2,2,0,0,0,0,0,1.1223257865031742,0.7181880873276177,-0.7393998900584244,1.4388689928968192,0.8471581084710289,0.5839780586184533,0.4028708016488428,1
0,0,0,0,0,0,0,0,-1.1506780766767153,-0.6381014955066484,-0.7329227206791349,1.6097111274010314,-0.3844355253123048,-0.3827948366823732,-0.41373815456079477,0
1,1,1,-2,-2,-2,-2,-2,-1.1506780766767153,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,0
0,0,0,0,0,0,0,0,0.2601519073659747,-0.1534256167964389,-0.7352525380319385,0.40911583429587955,-0.15497632397720928,-0.14540461284125208,-0.09973020188482039,0
0,0,0,0,0,0,0,0,0.10339302025012029,-0.35236993595374544,-0.7556941908997962,0.7085215471192834,-0.03971654955426621,-0.23194809566724126,-0.2602905640958866,1
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.586433320922486,-0.4679686070451561,-0.7728210525141394,-0.4272735647482468,-0.38898342092914784,-0.3405184454091685,1
3,3,3,2,2,0,0,0,-0.8371603024450064,-0.5506315361022761,-0.739197120431234,1.0358295275943072,-0.26779729912533384,-0.49138515088749707,-0.3509784038594008,0
1,1,1,-2,-2,-2,-1,-1,-1.072298633118788,0.11501949745425745,1.0956163054060228,-0.5430744017674622,0.0652578540140076,-0.15285025326315282,-0.473673716480626,0
1,1,1,-1,-1,0,0,-1,0.5736696815976836,-0.5114980825192396,1.9788191858953106,-1.0418743191754116,-0.25528519849800424,-0.17286645543631457,-0.4764979052621887,0
0,0,0,0,0,0,0,0,1.9844996656403735,0.7000550704545291,-0.7291882440003208,0.4690597539290353,0.49989429868709284,0.4316808681704835,0.3187727357089749,0
0,0,0,0,0,0,0,0,1.2790846736190287,0.585003263095609,-0.7351158409101096,0.9153022841296483,0.33723699053180795,0.29069718329864863,0.36291376036895534,0
0,0,0,0,0,0,0,0,-1.072298633118788,-0.6066418035822535,0.4264950911241734,0.9065178417092248,-0.32123881366918233,-0.35668674689129265,-0.4764979052621887,0
3,2,0,0,0,2,2,2,0.5736696815976836,-0.6293900009546676,-0.6941376733872525,-0.9098258922355547,-0.37425618920871456,-0.31800809534895114,-0.4764979052621887,0
0,0,0,0,0,0,0,0,-0.1317453104236614,-0.20957242807817153,-0.5853054181962245,-0.6163881239922461,-0.2682214381296501,-0.20197214072192657,-0.16269915175521898,0
0,0,0,0,0,0,0,0,0.33853135092390196,-0.5633301096655084,-0.5230609570362839,-0.9660264760577777,-0.37425618920871456,-0.3470170840057073,-0.3718983207598655,0
0,-1,-1,-1,-1,-1,-2,-2,-0.9155397460029336,-0.5869794961295067,0.4866849960937362,-0.9981531683154604,-0.501497890503592,0.07651415038293242,-0.4764979052621887,1
0,0,0,0,0,0,0,0,-0.9155397460029336,-0.5110611423536231,-0.7141982974283708,0.9234862904478549,-0.28306630328071913,-0.32767775823453654,-0.3718983207598655,0
1,1,1,-2,-2,-2,-2,-2,0.5736696815976836,-0.7557476350989171,-0.7858225133871714,-1.0642948615206922,-0.5333083158273113,-0.492062027289488,-0.4764979052621887,1
0,-1,-1,-1,-1,-1,-1,-1,0.10339302025012029,-0.6033647523401291,2.4915447246964715,-1.054149064186822,-0.5333083158273113,-0.45183622968545284,-0.4417708432074174,0
4,2,1,2,2,2,0,0,-0.9155397460029336,-0.38707937035991385,-0.5148405799212716,-0.11503943279753726,-0.4272735647482468,0.47490426126905017,-0.43465807146125945,0
0,-2,-2,-2,-2,-2,-2,-2,0.025013576692193062,1.0424249989754835,0.6379724132295851,-0.8734984935141684,0.5270391949633333,0.47490426126905017,0.5694979397610437,0
0,0,-1,-1,-1,-1,0,-1,-1.1506780766767153,-0.11014123164004486,2.291307675765835,-0.43193180383724095,1.1193493144909874,-0.4587983869630743,-0.23173487752675234,0
1,3,0,0,0,0,0,3,-0.9155397460029336,-0.5595888094974163,-0.5494602093068475,-0.6045471198298532,-0.4272735647482468,-0.3470170840057073,-0.26729873625754225,0
0,0,0,0,0,0,0,0,0.025013576692193062,-0.6532851662618252,-0.7404148247288864,-0.7695971472608071,-0.3571845942849852,-0.37602607266246346,-0.4397834511018733,1
2,2,1,2,0,0,0,0,0.2601519073659747,1.6201145154413257,-0.5779623359550298,0.8303445316948077,0.3149696928052044,-0.008578883010218932,5.328779034616752,0
4,3,1,2,3,2,0,0,-0.6804014153291519,-0.6432082336922924,-0.6856736911269131,-0.6948598234390212,-0.35835097654685494,-0.492062027289488,-0.4764979052621887,0
1,1,1,-2,-1,-1,-1,-1,0.730428568713538,-0.087529578069386,1.8143735060264432,-1.0221709642339232,-0.5333083158273113,1.6836121219672229,-0.4764979052621887,0
1,2,0,0,0,0,2,0,-0.2101247539815886,-0.3115160304685937,-0.7302091358445943,0.33736203392040304,-0.16695825084914356,-0.19133551154778264,0.046500017249427504,0
0,0,0,0,0,0,0,0,-0.6804014153291519,0.9647042670164312,-0.4132075264989133,0.46549418527535125,2.647734216544623,-0.20197214072192657,0.15109960175175075,0
1,1,1,-1,-1,-1,-1,-2,1.435843560734883,-0.6318750981466119,0.6222524763720286,-1.0578284491758854,-0.22517132919154995,-0.3953653984336342,-0.4106001670257251,0
0,0,0,0,0,0,0,0,0.8871874558293925,1.9820768409885174,-0.5855396591656309,0.5911915499540015,0.3194231523505251,0.15580538604473257,0.06083016032624579,0
0,0,0,0,0,0,0,0,-1.072298633118788,-0.5181614200448927,-0.6052395763274824,0.05002537450043093,-0.3530492389929017,-0.3470170840057073,-0.3718983207598655,0
0,0,0,0,0,0,0,0,-0.2101247539815886,0.2106820849639411,-0.5382695614904386,-0.30445051888618,-0.0031345604319889743,-0.008578883010218932,0.7666681565479231,0
0,0,0,0,0,0,0,0,0.2601519073659747,-0.13966200157951614,-0.7302129289478774,0.30826692684672197,-0.10916931151105344,-0.1777979835079631,-0.13654925562963818,0
