ID,SEX_FEMALE,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month
45,1,1,0,0,0,0,1,0,40000.00,30.00,0,0,0,2,0,0,18927.00,21295.00,25921.00,25209.00,26636.00,29197.00,3000.00,5000.00,0.00,2000.00,3000.00,0.00,0
46,0,1,0,0,0,0,1,0,210000.00,29.00,-2,-2,-2,-2,-2,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
47,1,1,0,0,0,0,1,0,20000.00,22.00,0,0,2,-1,0,0,14028.00,16484.00,15800.00,16341.00,16675.00,0.00,3000.00,0.00,16741.00,334.00,0.00,0.00,1
48,1,0,0,0,1,0,1,0,150000.00,46.00,0,0,-1,0,0,-2,4463.00,3034.00,1170.00,1170.00,0.00,0.00,1013.00,1170.00,0.00,0.00,0.00,0.00,1
49,0,0,1,0,0,0,1,0,380000.00,32.00,-1,-1,-1,-1,-1,-1,22401.00,21540.00,15134.00,32018.00,11849.00,11873.00,21540.00,15138.00,24677.00,11851.00,11875.00,8251.00,0
50,0,1,0,0,0,0,1,0,20000.00,24.00,0,0,0,0,0,0,17447.00,18479.00,19476.00,19865.00,20480.00,20063.00,1318.00,1315.00,704.00,928.00,912.00,1069.00,0
51,0,0,0,1,0,0,1,0,70000.00,42.00,1,2,2,2,2,0,37042.00,36171.00,38355.00,39423.00,38659.00,39362.00,0.00,3100.00,2000.00,0.00,1500.00,1500.00,1
52,1,0,0,1,0,0,0,1,100000.00,43.00,0,0,0,0,0,0,61559.00,51163.00,43824.00,39619.00,35762.00,33258.00,2000.00,1606.00,1500.00,2000.00,1500.00,1000.00,0
53,1,0,1,0,0,1,0,0,310000.00,49.00,-2,-2,-2,-2,-2,-2,13465.00,7867.00,7600.00,11185.00,3544.00,464.00,7875.00,7600.00,11185.00,3544.00,464.00,0.00,0
54,1,1,0,0,0,0,1,0,180000.00,25.00,1,2,0,0,0,0,41402.00,41742.00,42758.00,43510.00,44420.00,45319.00,1300.00,2010.00,1762.00,1762.00,1790.00,1622.00,0
55,1,1,0,0,0,0,1,0,150000.00,29.00,2,0,0,0,0,0,46224.00,34993.00,31434.00,26518.00,21042.00,16540.00,1600.00,1718.00,1049.00,1500.00,2000.00,5000.00,0
56,1,1,0,0,0,1,0,0,500000.00,45.00,-2,-2,-2,-2,-2,-2,1905.00,3640.00,162.00,0.00,151.00,2530.00,3640.00,162.00,0.00,151.00,2530.00,0.00,0
57,1,0,0,1,0,1,0,0,180000.00,34.00,0,0,0,-1,-1,-1,16386.00,15793.00,8441.00,7142.00,-232.01,8321.00,8500.00,1500.00,7500.00,679.00,9000.00,2000.00,0
58,1,0,1,0,0,1,0,0,180000.00,34.00,0,0,0,0,0,0,175886.00,173440.00,172308.00,168608.00,132202.00,129918.00,8083.00,7296.00,5253.00,4814.00,4816.00,3800.00,0
59,1,1,0,0,0,0,1,0,200000.00,34.00,-1,3,2,2,2,2,1587.00,1098.00,782.00,1166.00,700.00,1414.00,0.00,0.00,700.00,0.00,1200.00,0.00,0
60,1,0,1,0,0,1,0,0,400000.00,29.00,0,0,0,0,0,0,350110.68,337495.28,325030.39,304997.27,285868.33,279505.06,17000.00,15029.00,30000.00,12000.00,12000.00,23000.00,0
61,1,0,0,1,0,1,0,0,500000.00,28.00,0,0,0,0,0,0,22848.00,23638.00,18878.00,14937.00,13827.00,15571.00,1516.00,1300.00,1000.00,1000.00,2000.00,2000.00,1
62,0,0,1,0,0,1,0,0,70000.00,39.00,0,0,0,0,0,-1,70800.00,72060.00,69938.00,16518.00,14096.00,830.00,4025.00,2095.00,1000.00,2000.00,3000.00,0.00,0
63,0,1,0,0,0,0,1,0,50000.00,29.00,2,2,2,2,2,2,24987.00,24300.00,26591.00,25865.00,27667.00,28264.00,0.00,2700.00,0.00,2225.00,1200.00,0.00,1
64,1,0,1,0,0,1,0,0,50000.00,46.00,0,0,0,-2,-2,-2,28718.00,29166.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,0.00,0.00,1
65,1,0,1,0,0,1,0,0,130000.00,51.00,-1,-1,-2,-2,-1,-1,99.00,0.00,0.00,0.00,2353.00,0.00,0.00,0.00,0.00,2353.00,0.00,0.00,0
66,0,1,0,0,0,1,0,0,200000.00,57.00,-2,-2,-2,-1,2,2,152519.00,148751.00,144076.00,8174.00,8198.00,7918.00,0.00,0.00,8222.00,300.00,0.00,1000.00,1
67,0,0,1,0,0,1,0,0,10000.00,56.00,2,2,2,0,0,0,2097.00,4193.00,3978.00,4062.00,4196.00,4326.00,2300.00,0.00,150.00,200.00,200.00,160.00,1
68,1,1,0,0,0,0,1,0,210000.00,30.00,2,-1,-1,-1,-1,-1,300.00,300.00,1159.00,2280.00,300.00,4250.00,300.00,1159.00,2280.00,300.00,4250.00,909.00,0
69,1,0,0,1,0,0,1,0,130000.00,29.00,1,-2,-2,-1,2,-1,-81.00,-200.00,-200.00,10311.00,10161.00,7319.00,0.00,0.00,20161.00,0.00,7319.00,13899.00,0
70,0,0,0,0,1,0,1,0,20000.00,22.00,2,0,0,0,0,0,18565.00,17204.00,17285.00,18085.00,11205.00,5982.00,0.00,1200.00,1000.00,500.00,1000.00,0.00,0
71,0,1,0,0,0,0,1,0,80000.00,31.00,-1,-1,-1,-1,-1,-1,780.00,0.00,390.00,390.00,390.00,390.00,0.00,390.00,390.00,390.00,390.00,390.00,0
72,0,0,1,0,0,0,1,0,320000.00,29.00,2,2,2,2,2,2,58267.00,59246.00,60184.00,58622.00,62307.00,63526.00,2500.00,2500.00,0.00,4800.00,2400.00,1600.00,1
73,1,0,1,0,0,1,0,0,200000.00,32.00,-1,-1,-1,-1,2,-1,9076.00,5787.00,-200.00,5247.00,3848.00,3151.00,5818.00,15.00,9102.00,17.00,3165.00,1395.00,0
74,1,1,0,0,0,0,1,0,290000.00,37.00,1,-2,-1,-1,-1,-1,0.00,0.00,3155.00,0.00,2359.00,0.00,0.00,3155.00,0.00,2359.00,0.00,0.00,0
75,0,1,0,0,0,0,1,0,340000.00,32.00,-1,-1,-1,-1,-1,-1,3048.00,5550.00,23337.00,4291.00,80153.00,25820.00,5713.00,23453.00,4314.00,67054.44,25949.00,2016.00,0
76,0,0,1,0,0,0,1,0,20000.00,24.00,0,0,2,0,0,0,14619.00,17216.00,16642.00,16976.00,17332.00,18543.00,2850.00,0.00,610.00,630.00,1500.00,0.00,0
77,0,0,0,1,0,0,1,0,50000.00,25.00,-1,0,0,0,0,0,42838.00,37225.00,36087.00,9636.00,9590.00,10030.00,1759.00,1779.00,320.00,500.00,1000.00,1000.00,0
78,1,1,0,0,0,1,0,0,300000.00,45.00,-1,-1,-1,-1,-1,-1,291.00,291.00,291.00,291.00,291.00,291.00,291.00,291.00,291.00,291.00,291.00,291.00,0
79,1,0,1,0,0,0,1,0,30000.00,22.00,0,0,0,0,0,0,28387.00,29612.00,30326.00,28004.00,26446.00,6411.00,1686.00,1400.00,560.00,3000.00,1765.00,0.00,1
80,1,0,1,0,0,0,1,0,240000.00,44.00,1,-2,-2,-2,-2,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
81,1,0,0,1,0,0,0,1,470000.00,33.00,0,0,0,0,0,0,165254.00,157784.00,162702.00,69923.00,29271.00,29889.00,6400.00,7566.00,3000.00,960.00,1000.00,3000.00,0
82,1,1,0,0,0,0,1,0,360000.00,26.00,0,0,0,0,0,-1,23411.00,27796.00,30400.00,33100.00,180000.00,196.00,4796.00,3400.00,3100.00,67054.44,196.00,2963.00,0
83,0,0,0,1,0,0,1,0,60000.00,30.00,0,0,0,0,0,0,26324.00,27471.00,28108.00,21993.00,19899.00,19771.00,1576.00,1213.00,648.00,768.00,1140.00,0.00,1
84,1,0,1,0,0,1,0,0,400000.00,44.00,0,0,2,0,0,0,131595.00,139060.00,126819.00,104430.00,104990.00,94058.00,10700.00,3.00,3050.00,3000.00,3200.00,2800.00,0
85,1,0,0,1,0,0,1,0,50000.00,49.00,0,0,0,0,0,0,48909.00,47863.00,21489.00,20414.00,19342.00,19482.00,1676.00,1302.00,700.00,699.00,849.00,826.00,0
86,0,0,1,0,0,0,1,0,160000.00,33.00,0,0,0,0,0,0,130028.00,107808.00,71934.00,118418.00,118407.00,120418.00,4400.00,3547.00,70000.00,4500.00,4800.00,4500.00,0
87,1,1,0,0,0,1,0,0,360000.00,45.00,-1,-1,2,0,-1,-1,390.00,1170.00,780.00,390.00,390.00,390.00,1170.00,0.00,0.00,390.00,390.00,390.00,1
88,1,0,1,0,0,0,1,0,160000.00,32.00,0,0,0,0,0,-1,3826.00,4751.00,6604.00,8604.00,7072.00,766.00,1147.00,2000.00,2000.00,0.00,766.00,2303.00,0
89,1,1,0,0,0,1,0,0,130000.00,35.00,0,0,0,-1,-1,-1,81313.00,117866.00,17740.00,1330.00,7095.00,1190.00,40000.00,5000.00,1330.00,7095.00,1190.00,2090.00,0
90,0,0,0,1,0,0,1,0,20000.00,44.00,2,2,0,0,0,2,8583.00,8303.00,9651.00,10488.00,12314.00,11970.00,0.00,1651.00,1000.00,2000.00,0.00,1500.00,0
91,0,1,0,0,0,1,0,0,200000.00,53.00,2,2,2,2,2,2,138180.00,140774.00,142460.00,144098.00,147124.00,149531.00,6300.00,5500.00,5500.00,5500.00,5000.00,5000.00,1
92,1,1,0,0,0,0,1,0,280000.00,39.00,-1,-1,-1,0,0,-2,7524.00,0.00,3968.00,3868.00,0.00,0.00,0.00,3968.00,0.00,0.00,0.00,0.00,0
93,1,1,0,0,0,0,1,0,100000.00,27.00,-2,-2,-2,-2,-2,-2,-81.00,5555.00,0.00,0.00,0.00,0.00,7555.00,0.00,0.00,0.00,0.00,0.00,0
94,1,0,1,0,0,1,0,0,160000.00,37.00,-1,-1,-1,-1,-1,-2,880.00,1602.00,840.00,840.00,0.00,0.00,1602.00,840.00,840.00,0.00,0.00,7736.00,0
95,1,0,1,0,0,0,1,0,60000.00,23.00,0,0,0,0,0,0,45648.00,46850.00,47214.00,19595.00,19209.00,19323.00,1937.00,1301.00,682.00,690.00,816.00,835.00,0
96,0,0,1,0,0,0,1,0,90000.00,35.00,0,0,0,0,0,0,83725.00,85996.00,87653.00,35565.00,30942.00,30835.00,3621.00,3597.00,1179.00,1112.00,1104.00,1143.00,0
97,0,1,0,0,0,1,0,0,360000.00,43.00,-1,-1,-1,-1,-1,0,3967.00,8322.00,3394.00,6451.00,26370.00,9956.00,8339.00,3394.00,12902.00,27000.00,0.00,68978.00,0
98,0,1,0,0,0,0,1,0,150000.00,27.00,0,0,0,0,0,0,86009.00,86108.00,89006.00,89775.00,87725.00,40788.00,4031.00,10006.00,3266.00,4040.00,1698.00,800.00,0
99,1,0,0,1,0,1,0,0,50000.00,22.00,0,0,0,0,0,0,18722.00,18160.00,16997.00,13150.00,8866.00,7899.00,1411.00,1194.00,379.00,281.00,321.00,197.00,0
100,0,0,1,0,0,1,0,0,20000.00,38.00,0,0,0,0,0,-1,17973.00,19367.00,19559.00,18240.00,17928.00,150.00,1699.00,1460.00,626.00,1750.00,150.00,0.00,1
101,0,1,0,0,0,0,1,0,140000.00,32.00,-2,-2,-2,-2,-2,-2,672.00,10212.00,850.00,415.00,100.00,1430.00,10212.00,850.00,415.00,100.00,1430.00,0.00,0
102,1,1,0,0,0,0,1,0,380000.00,30.00,-2,-2,-1,0,0,0,-81.00,-200.00,32475.00,32891.00,33564.00,34056.00,223.00,33178.00,1171.00,1197.00,1250.00,5000.00,0
103,0,1,0,0,0,1,0,0,480000.00,60.00,0,0,0,2,2,0,350110.68,337495.28,325030.39,304997.27,285868.33,279505.06,16078.00,55693.00,17000.00,0.00,18000.00,24200.00,0
104,1,0,0,1,0,0,1,0,50000.00,22.00,0,0,0,0,0,0,44698.00,42254.00,38347.00,32496.00,23477.00,24094.00,1767.00,1362.00,1002.00,840.00,995.00,904.00,1
105,1,0,1,0,0,0,1,0,60000.00,26.00,2,2,2,2,2,0,56685.00,55208.00,59175.00,60218.00,55447.00,55305.00,0.00,5000.00,2511.00,6.00,3000.00,3000.00,0
106,1,0,1,0,0,0,1,0,70000.00,24.00,-1,-1,-2,-2,-2,-1,5580.00,0.00,0.00,0.00,0.00,26529.00,0.00,0.00,0.00,0.00,26529.00,2000.00,0
107,1,0,1,0,0,1,0,0,80000.00,36.00,-1,-1,-1,-1,-1,-1,6108.00,2861.00,3277.00,3319.00,1150.00,1150.00,2861.00,3279.00,3319.00,1150.00,1150.00,1035.00,0
108,0,1,0,0,0,0,1,0,350000.00,52.00,-1,-1,-1,-1,-1,-1,713.00,2272.00,722.00,867.00,1150.00,5263.00,2272.00,722.00,867.00,1150.00,5263.00,5011.00,0
109,0,0,1,0,0,0,1,0,130000.00,38.00,0,0,0,-1,-1,-1,171438.00,178382.00,39940.00,120483.00,44127.00,126568.00,10908.00,0.00,70000.00,4566.00,65607.56,4796.00,0
110,0,0,1,0,0,1,0,0,360000.00,35.00,1,-2,-2,-2,-2,-2,-81.00,-103.00,-103.00,-103.00,-103.00,-103.00,0.00,0.00,0.00,0.00,0.00,0.00,0
111,1,1,0,0,0,1,0,0,330000.00,31.00,0,0,2,0,0,0,105879.00,108431.00,105594.00,105896.00,106491.00,107289.00,9260.00,0.00,3593.00,4100.00,15794.00,0.00,0
112,0,0,0,1,0,1,0,0,50000.00,47.00,0,0,2,0,0,0,13244.00,14722.00,15181.00,15928.00,16671.00,17393.00,2000.00,1000.00,1000.00,1000.00,1000.00,1000.00,0
113,0,0,1,0,0,1,0,0,280000.00,41.00,2,2,2,2,2,3,135673.00,138532.00,134813.00,144401.00,152174.00,149415.00,6500.00,0.00,14254.00,14850.00,0.00,5000.00,0
114,1,1,0,0,0,0,1,0,100000.00,24.00,0,0,0,0,0,0,52128.00,52692.00,54477.00,56076.00,60100.00,59713.00,2000.00,2677.00,3076.00,5080.00,3000.00,2033.00,0
115,0,0,1,0,0,0,1,0,50000.00,41.00,0,0,0,0,0,0,19015.00,19294.00,20259.00,20274.00,20311.00,19957.00,1340.00,1305.00,700.00,718.00,724.00,684.00,0
116,0,1,0,0,0,0,1,0,30000.00,24.00,-1,2,0,0,3,2,18199.00,17618.00,18631.00,21319.00,20692.00,21201.00,0.00,1312.00,3000.00,0.00,1000.00,1000.00,1
117,0,1,0,0,0,0,1,0,240000.00,28.00,-1,-1,-1,-1,-1,-1,326.00,326.00,326.00,5676.00,476.00,326.00,326.00,326.00,5676.00,476.00,326.00,526.00,0
118,0,0,1,0,0,0,1,0,80000.00,26.00,2,0,0,0,0,0,14029.00,15493.00,16630.00,17055.00,17629.00,18186.00,2000.00,1700.00,1000.00,1000.00,1000.00,1000.00,1
119,0,0,1,0,0,1,0,0,400000.00,34.00,-1,-1,-1,-1,-1,-1,19660.00,9666.00,11867.00,7839.00,14837.00,7959.00,9677.00,11867.00,7839.00,14837.00,7959.00,5712.00,0
120,1,0,1,0,0,0,1,0,240000.00,38.00,0,0,0,0,-1,-1,50254.00,51445.00,53015.00,52479.00,1307.00,1203.00,2000.00,3000.00,3000.00,1307.00,1203.00,563.00,0
121,0,0,0,1,0,0,1,0,50000.00,37.00,2,2,2,3,2,2,46004.00,45976.00,48953.00,48851.00,49318.00,51143.00,1000.00,4035.00,1000.00,1400.00,2800.00,0.00,1
122,0,1,0,0,0,1,0,0,450000.00,40.00,1,-2,-2,-2,-2,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1
123,1,1,0,0,0,1,0,0,110000.00,48.00,1,-2,-2,-2,-2,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
124,1,0,1,0,0,1,0,0,310000.00,35.00,2,0,0,0,0,0,304991.00,311243.00,306314.00,258610.00,246491.00,198889.00,13019.00,11128.00,8407.00,8599.00,6833.00,5987.00,1
125,0,1,0,0,0,0,1,0,20000.00,27.00,0,0,0,0,0,0,19115.00,18962.00,19298.00,19378.00,19717.00,15630.00,1404.00,1130.00,600.00,861.00,313.00,0.00,0
126,0,0,1,0,0,0,1,0,20000.00,23.00,1,-2,-2,-2,-2,-2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
127,0,0,0,1,0,0,1,0,200000.00,52.00,0,0,0,0,0,0,110151.00,99530.00,98951.00,100914.00,103146.00,104993.00,3568.00,3585.00,3602.00,3848.00,3669.00,3784.00,0
128,0,1,0,0,0,1,0,0,180000.00,36.00,0,0,0,0,0,0,163736.00,116422.00,99278.00,95766.00,97753.00,95927.00,4655.00,2690.00,2067.00,2142.00,2217.00,1000.00,1
129,0,0,1,0,0,1,0,0,50000.00,51.00,0,0,0,0,0,0,3347.00,3899.00,4503.00,5347.00,6375.00,7077.00,1000.00,1066.00,1300.00,1500.00,1200.00,134.00,1
130,0,0,0,1,0,1,0,0,60000.00,55.00,3,2,2,0,0,0,60521.00,61450.00,57244.00,28853.00,29510.00,26547.00,2504.00,7.00,1200.00,1200.00,1100.00,1500.00,0
131,1,1,0,0,0,0,1,0,30000.00,23.00,1,-2,-2,-2,-1,-1,4000.00,5645.00,3508.00,-27.00,13744.00,5906.00,5645.00,3508.00,27.00,13771.00,5911.00,3024.00,0
132,0,1,0,0,0,0,1,0,240000.00,41.00,1,-1,-1,0,0,-1,95.00,2622.00,3301.00,3164.00,360.00,1737.00,2622.00,3301.00,0.00,360.00,1737.00,924.00,0
133,0,0,1,0,0,1,0,0,420000.00,34.00,0,0,0,0,0,0,253454.00,247743.00,229049.00,220951.00,210606.00,188108.00,9744.00,9553.00,7603.00,7830.00,7253.00,11326.00,0
134,0,0,0,1,0,1,0,0,330000.00,46.00,0,0,0,0,0,0,227389.00,228719.00,229644.00,227587.00,227775.00,228203.00,8210.00,8095.00,8025.00,8175.00,8391.00,8200.00,0
135,1,0,1,0,0,0,1,0,30000.00,22.00,0,0,0,0,0,0,28452.00,26145.00,26712.00,25350.00,17603.00,-331.03,2000.00,1400.00,0.00,500.00,0.00,1560.00,0
